premise,statement,label,adjective_premise,adjective_statement
So I am going to make a list and see some of these. But I doubt if I will increase my going to the movies activity much for all kinds of reasons. Merkel cell carcinoma is an uncommon aggressive cutaneous malignancy,Merkel cell carcinoma is a rare aggressive cutaneous malignancy,entailment,uncommon,rare
"For such a special dish, it is surprisingly easy to prepare. Please note that the version at Taverna Estia was more elaborate with a more airy sauce and ‘green olives’. For the ‘scales’ small zucchini are the best",For the ‘scales’ tiny zucchini are the best,entailment,small,tiny
Q: What are some common pool tile designs used on fiberglass pools?A: Two of the most popular tile designs used on our fiberglass pools are offered by National Pool Tile Group. They are the 6x6 Aztec series and the 2x6 Neptune series. Q: Can waterline tile be added later to a fiberglass pool? A: Its possible,Q: Can waterline tile be added later to a fiberglass pool? A: Its practical,contradiction,possible,practical
"5-inch IPS display running at a very sharp 3,000 x 2,000 (267 PPI) resolution in the productivity-friendly 3:2 aspect ratio that Microsoft champions. If it matches its predecessor, then it should offer the usual high contrast and brightness enjoyed by other Surface PCs. That compares to the XPS 13’s choice of Full HD (1,920 x 1,080 or 165 PPI) or 4K UHD display (3,840 x 2,160 or 331 PPI) resolutions that both offer good contrast, slightly higher color gamut, and decent brightness","That compares to the XPS 13’s choice of Full HD (1,920 x 1,080 or 165 PPI) or 4K UHD display (3,840 x 2,160 or 331 PPI) resolutions that both offer great contrast, slightly higher color gamut, and decent brightness",entailment,good,great
"A definite watch!If there is one thing I have passed down to the GGG boys it is certainly my sweet tooth and love for desserts. So, the other day when my son proclaimed out of nowhere that he wanted me to make Whoopie Pies, I froze for just a second. You see, I know my limits and when it comes to baking – I am good","You see, I know my limits and when it comes to baking – I am great",neutral,good,great
"Thank you both for joining us, and thank you for joining us—let’s begin. So, Dr Boccia, what is the pathogenesis of ITP, and how do patients usually present?Ralph V. Boccia, MD, FACP, LLC: So, ITP is an uncommon bleeding disorder resulting from both increased platelet destruction and decreased platelet production","Boccia, MD, FACP, LLC: So, ITP is a rare bleeding disorder resulting from both increased platelet destruction and decreased platelet production",contradiction,uncommon,rare
The smokiness is one of my favorite flavors in a coffee. This is the perfect coffee to enjoy on a cold snow day because it smells and tastes like a winter campfire. I love it!This one was good,I love it!This one was great,entailment,good,great
Polamalu was amazing and the secondary made plays when they had to. Missed tackles was perhaps the biggest mistakes on the night. Offensively the line was good,Offensively the line was great,entailment,good,great
"first of all, is this true? secondly, i ovulated on 4/19 and starting 4/22 i started having slight cramps. not too bad except for once on the left side. ever since then i have been having uncomfortable cramps off and on kind of like af is about to start (but not supposed to until 5/4)",ever since then i have been having painful cramps off and on kind of like af is about to start (but not supposed to until 5/4),contradiction,uncomfortable,painful
"Division of Critical Care Neurology, Mayo Clinic, Mayo W8-B, 200 First Street SW, Rochester, MN 55905. USA. Background: Orthostatic hypotension (OH) is an uncommon manifestation of dorsal medullary lesions which has less commonly been described as arising de novo or significantly worsening following surgical resection of the lesion",Background: Orthostatic hypotension (OH) is a rare manifestation of dorsal medullary lesions which has less commonly been described as arising de novo or significantly worsening following surgical resection of the lesion,entailment,uncommon,rare
